PuzzleId,FEN,Moves,Rating,Themes
00QN3,"r1b1B2k/pp4pp/2pb4/4q3/8/8/PPP3PP/R2Q1R1K w - - 1 17","g2g3 e5e4 d1f3 e4e8",1878,"advantage fork middlegame short"
00IYg,"r1b2r2/pp2npp1/1qn1p1k1/3pP1N1/3P3P/P7/1P1Q1PP1/RN2K2R b KQ - 0 13","f7f6 h4h5 g6h6 g5e6 h6h7 e6f8",1885,"advantage discoveredAttack discoveredCheck long middlegame"
003aS,"8/8/5k1p/6p1/1R4PP/1p2KP2/8/1r6 w - - 0 43","h4h5 b3b2 b4b6 f6e5 f3f4 g5f4",1890,"advancedPawn crushing defensiveMove endgame long rookEndgame"
00UI2,"2r3nr/p5pp/b3kp2/3p4/4p3/BP3P2/P1PN2PP/2KR3R b - - 0 18","f6f5 f3e4 f5e4 d2e4 d5e4 d1d6 e6f7 d6a6",1896,"clearance crushing fork middlegame sacrifice veryLong"
00JqT,"2r2rk1/pp2R3/5p2/3p1q2/3P4/4QPPp/PP3R1P/6K1 w - - 2 30","g3g4 f5b1 f2f1 b1b2 e3e6 g8h8",1897,"crushing deflection endgame long"
00SIq,"r3r1k1/1Q3ppp/8/pP6/2q5/7P/3R2P1/5R1K w - - 0 30","f1f7 c4f7 b7f7 g8f7",1903,"crushing endgame short"
00FF5,"r3k3/ppp1qp2/1b1p3p/4p2r/2B1P1b1/P1PP1P2/1P4PQ/RN3R1K b q - 2 18","e7h4 c4f7 e8e7 f7h5",1904,"attackingF2F7 crushing middlegame short"
00CXr,"r2k2nr/pp2qBb1/3p3p/Q5p1/3n1B2/2N2R2/PPP3P1/R5K1 b - - 1 18","b7b6 a5d5 d4f3 g2f3 a8c8 f4d6",1908,"advantage long middlegame sacrifice"
0018P,"5R2/1p6/p1p5/2P1rk2/2K3p1/2P1p1P1/1P5P/8 b - - 1 44","f5e6 f8e8 e6f5 e8e5 f5e5 c4d3 e5d5 d3e3 a6a5 e3f4 d5c4 f4g4",1910,"crushing endgame exposedKing rookEndgame veryLong"
00H87,"6k1/2q1pp2/p5pB/2p4n/3pP1Q1/P2P3P/1r4P1/5RK1 b - - 1 30","c7g3 g4c8 g8h7 f1f7 h5g7 f7g7 h7h6 c8h8 h6g5 g7g6 g5g6 h8g8 g6f6 g8g3",1912,"attraction crushing deflection endgame sacrifice skewer veryLong"
005xu,"8/3k4/1K1P4/2P3r1/R7/5b2/8/8 b - - 0 68","g5g8 a4a7 d7e6 a7e7 e6d5 d6d7",1914,"advancedPawn crushing endgame exposedKing long"
00798,"6K1/4k3/4P3/6pp/6rP/4R1P1/8/8 w - - 0 60","g8g7 g5h4 g7h6 h4g3",1917,"crushing discoveredAttack endgame rookEndgame short"
00Qm5,"r2q1rk1/p3b1pp/2p5/4ppB1/4p1nP/2N5/PPP1QPP1/3R1RK1 b - - 8 15","d8c7 e2c4 g8h8 c3d5 c6d5 c4c7",1925,"crushing long middlegame"
00MDy,"8/pp6/2p1k3/2Pp2pp/1P1P1p2/P2K1P2/6PP/8 w - - 0 42","g2g3 f4g3 h2g3 h5h4 g3h4 g5h4",1928,"crushing endgame long pawnEndgame"
006om,"1r3k2/5p1p/2p1pp2/P2n4/2r1N3/P4PK1/2R2P1P/2R5 b - - 9 29","c4a4 e4c5 a4a5 c5d7 f8g7 d7b8",1937,"crushing endgame fork long master"
00BPh,"r4rk1/1b1p1p1p/p2NpQpq/1p6/3R4/P7/1P3PPP/3R2K1 b - - 9 23","b7d5 d4d5 h6g7 f6g7",1938,"advantage kingsideAttack middlegame short"
00008,"r6k/pp2r2p/4Rp1Q/3p4/8/1N1P2R1/PqP2bPP/7K b - - 0 24","f2g3 e6e7 b2b1 b3c1 b1c1 h6c1",1939,"crushing hangingPiece long middlegame"
00OYl,"3r4/5p2/k3p1p1/2B1Pr2/2P3n1/1p3NPp/4QP1P/6K1 w - - 0 34","f3h4 f5e5 e2f1 e5c5",1944,"crushing endgame fork short"
00RtC,"r4k2/ppp3p1/3p3r/2q5/2NnP3/2Q2PBp/PP3R1P/5RK1 w - - 4 25","b2b4 d4e2 g1h1 c5f2 c3g7 f8g7",1948,"advantage deflection discoveredAttack long middlegame pin"
0068D,"7r/pppk4/2pb1r2/8/2NP2p1/2P5/PP2RPP1/4R1K1 w - - 2 26","c4d6 f6h6 f2f4 g4g3 e2e7 d7d6 g1f1 h6h1",1949,"crushing endgame veryLong"
008qL,"r7/6pk/p2p4/2p1p1qp/1pP1PrP1/1P1Q1P1P/1P4K1/R4R2 w - - 0 25","d3d6 a8d8 d6d8 g5d8",1956,"advantage endgame short"
000mr,"5r1k/5rp1/p7/1b2B2p/1P1P1Pq1/2R1Q3/P3p1P1/2R3K1 w - - 0 41","e3g3 f7f4 e5f4 f8f4",1957,"crushing middlegame short"
005wy,"1r6/pp2kpp1/2n1p1n1/3p2PQ/5P2/2PqP3/PP1N4/2KR3R w - - 3 27","h5h7 c6b4 c3b4 b8c8 d2c4 c8c4",1957,"long mate mateIn3 middlegame queensideAttack sacrifice"
001kG,"rnbq3r/1p2bkpp/p4n2/8/2pNP3/2N5/PPP3PP/R1BQ1RK1 b - - 1 11","e7c5 d1h5 f7g8 h5c5",1963,"advantage opening pin short"
005YX,"2rr4/2N2pk1/p1Q1b1pp/1p4q1/3pP3/1B1P4/PPP3PP/6RK w - - 7 25","c7e6 f7e6 c6b7 g7h8",1964,"defensiveMove equality middlegame short"
00A5m,"8/1p6/p1p2p2/P3b3/1PK3P1/2PBk3/8/8 b - - 3 60","e3d2 d3f5 e5c7 f5c8 b7b6 a5b6 c7b6 c8a6",1965,"bishopEndgame crushing endgame quietMove veryLong"
008lc,"7k/pb1qn2n/1p2R2Q/2p2p2/2Pp4/3B4/PP3PrP/4RK2 b - - 1 27","g2g7 h6g7 h8g7 e6e7 d7e7 e1e7",1973,"attraction crushing exposedKing fork long middlegame"
00Lyc,"4R3/1p4k1/1q1N1bpp/3B4/5p1P/p4P2/3RK1P1/8 w - - 4 42","d6e4 b6b5 d2d3 b5e8",1975,"crushing endgame fork master short"
009hH,"k3r3/p3q3/1pp5/3pnB2/1P1Q4/1KPP4/P4R2/8 w - - 0 41","f2e2 e5f3 e2e7 f3d4 c3d4 e8e7",1980,"advantage endgame long"
00Ezc,"rnb1k2r/ppp4p/3b1qp1/3P1pBQ/4p2N/2N5/PPP2PPP/R3R1K1 b kq - 1 13","f6f7 c3e4 f5e4 e1e4",1982,"crushing middlegame short"
00JsQ,"r1b1k1nr/pp1np2p/2q1Npp1/2P1p3/2B5/2N3B1/PPPR1PPP/2K4R b kq - 2 14","d7c5 d2d8 e8f7 d8f8",1990,"mate mateIn2 middlegame short"
002Ds,"8/1pp5/p2p4/P2Pk2p/1PP1p2P/2n1K2P/3N4/8 b - - 0 45","b7b6 b4b5 c3d1 e3e2 a6b5 a5a6",1992,"crushing endgame knightEndgame long"
00KNK,"r3r1k1/p1p4p/3b4/4p1qN/8/1P1b1Q2/P2P1PP1/B5KR b - - 2 22","e5e4 h5f6 g8f8 f6h7 f8e7 a1f6 g5f6 f3f6",2001,"advantage deflection discoveredCheck doubleCheck fork middlegame veryLong"
00NBR,"8/1p2np2/1Pp1k3/p1P3p1/P2K3p/7P/4BPP1/8 b - - 1 33","e7d5 e2c4 e6d7 c4d5",2001,"crushing endgame master short"
00Feu,"4R1k1/p4r1p/1pp2rp1/8/5B1q/4QP1P/P1P2PK1/8 b - - 2 28","f7f8 f4g5 h4g5 e3g5",2003,"crushing endgame fork short"
00eTD,"r1bq1r2/2p2p1k/pb1p1pnp/1p2p2Q/1P2P2N/P1PP1N2/B4PPP/R4RK1 w - - 6 17","a2f7 g6f4 f7g6 h7g7 h4f5 c8f5",2004,"advantage defensiveMove long middlegame"
00MZr,"1k5r/ppp5/2p5/3n4/5pQ1/3P1P1r/PPP2K2/5R2 w - - 2 26","f1g1 h3h2 g1g2 d5e3",2007,"crushing endgame short"
00UJF,"2kr2r1/3q1p2/pp1b1n1p/2pP4/2Pp1B2/PQ1P3P/4B1PK/R4R2 w - - 2 21","f4d6 d7d6 h2g1 g8g2 g1g2 d8g8 e2g4 f6g4",2008,"attraction crushing middlegame veryLong"
00dTd,"3r4/ppp1Q3/1b2kP2/8/4qp2/P1Pr4/1P3P2/1K2N3 b - - 5 31","e6d5 e7d8 d5c6 e1d3",2010,"advantage endgame hangingPiece short"
00aL1,"8/5pr1/1Q4k1/p2pp3/5Rp1/6P1/5PKP/3q4 b - - 1 33","g6h7 f4f5 d1f3 f5f3",2013,"advantage endgame short"
008Sk,"8/6pp/3Bp2k/p2pP2P/P2bp1PK/8/r7/5R2 b - - 2 37","d4f2 f1f2 g7g5 h4g3 a2f2 g3f2",2021,"crushing endgame long"
00MNf,"r1b3k1/pp3Rpp/3p4/2pN4/2P4b/5Q1P/PPP3P1/4qNK1 b - - 0 21","h4f6 f7f6 g7f6 f3f6",2027,"crushing middlegame short"
00cxG,"2r5/3RQ2p/6pk/8/5q1P/1P6/2K5/8 w - - 16 42","c2b2 f4c1 b2a2 c8c2",2031,"endgame mate mateIn2 short"
00H2I,"4rrk1/ppp2pp1/7p/3n4/3P3q/1P2p2P/P5P1/R1BQRBK1 w - - 2 23","c1b2 h4f2 g1h2 f2b2",2033,"crushing fork middlegame short"
00C3O,"r2qkbnr/pp4pp/2p2p2/4n2b/2B1P3/2N2N2/PPP3PP/R1BQ1RK1 w kq - 0 10","d1e2 h5f3 g2f3 d8d4",2037,"crushing kingsideAttack opening short"
00JFF,"4r1k1/ppqb3p/6B1/3pb2Q/8/2P5/PP1B2PP/5RK1 b - - 0 20","h7g6 h5g6 e5g7 f1f7 c7c5 g1h1 c5f8 f7f8",2037,"crushing middlegame pin veryLong"
00UqU,"2k4r/q5p1/p2rpn1p/8/1RQP4/2P1P3/1P4PP/R5K1 b - - 0 25","a7c7 a1a6 c7c4 b4c4 c8d7 a6a7",2039,"advantage exposedKing long middlegame queensideAttack"
00A1H,"2r3k1/4brp1/2p3b1/2Pp1q1p/3B3P/2P2N2/PP3P1K/R2Q2R1 w - - 1 31","f3g5 f5f4 h2g2 e7g5",2041,"crushing middlegame short"
009XT,"rn1qk2r/pp3ppp/3bp1b1/3p4/3Pn2N/3BB3/PPP2PPP/RN1Q1RK1 w kq - 4 10","h4g6 d6h2 g1h1 h7g6",2048,"crushing intermezzo opening short"
00YYk,"2kr2r1/1p1q3p/p1nb4/2p1p3/2N1R3/3P1QP1/PPP5/R1B3K1 b - - 4 22","d8f8 f3f8 g8f8 c4b6 c8c7 b6d7",2048,"advantage fork long middlegame sacrifice"
0055Y,"r1b2rk1/p3pp2/2B4b/2Qpq3/3N2pp/4P3/2P2PPP/1R2K2R b K - 1 23","h6e3 f2e3 e5e3 e1d1",2055,"advantage defensiveMove middlegame short"
00Mzs,"r6r/p5pp/1p3nk1/5n2/1q6/5N2/P5PP/R2QR2K b - - 1 24","a8d8 f3e5 g6g5 e5f7",2055,"advantage middlegame short"
00aZ3,"8/6k1/1n6/1K2p1p1/P5P1/1B3r2/1PP5/8 b - - 1 36","b6d5 b3d5 f3f4 a4a5 e5e4 a5a6 e4e3 a6a7",2055,"advancedPawn crushing endgame hangingPiece quietMove veryLong"
00e88,"r3kb1r/pp1q1p1p/8/2np2p1/5N2/6P1/PPQPPP1P/R1B2RK1 w kq - 0 16","c2c3 d5d4 f4h5 d4c3",2055,"advantage middlegame short"
00ao5,"r3B2k/pp4pp/2n5/q1p3b1/2Q5/5b2/PPP2PPP/R4RK1 b - - 0 17","f3g2 c4f7 g2d5 f7d5 a8e8 d5g5",2058,"advantage long middlegame"
00Qog,"1r3rk1/pP2qppp/1b3n2/1Q2p3/4P3/2NP1bP1/PP2NP1P/R1B2RK1 w - - 1 15","c1g5 e7e6 e2f4 e5f4",2062,"crushing middlegame short"
004Ax,"8/8/4R1kp/p7/5rPK/8/7P/8 b - - 2 42","g6f7 e6h6 f4f6 h6h7 f7g6 h7a7",2064,"crushing endgame exposedKing long rookEndgame"
002xh,"2nk4/8/2PBp1n1/1pK1P1p1/1P4P1/8/8/8 b - - 2 42","g6h4 c5b5 h4g2 b5a6 g2e3 a6b7",2065,"crushing endgame long"
000h0,"5rk1/p5p1/3bpr1p/1Pp4q/3pR3/1P1Q1N2/P4PPP/4R1K1 w - - 4 22","e4e6 f6f3 g2f3 h5h2 g1f1 h2h3 f1e2 h3e6",2067,"advantage interference kingsideAttack middlegame veryLong"
006ia,"1r4k1/4bpp1/1rp2n1p/3p4/3P4/2N1B1P1/Pq2QPKP/2R1R3 w - - 3 24","e3h6 b2e2 e1e2 e7a3 h6e3 a3c1",2073,"advantage long middlegame"
00OLF,"k1r5/n1p3p1/Q2pN3/P2Pp2p/q3Pp1P/2RK4/5PP1/8 w - - 4 36","e6c7 c8c7 c3c7 a4d1 d3c3 d1c1 c3b3 c1c7",2075,"crushing endgame sacrifice skewer veryLong"
001Oo,"6k1/4p1bp/6p1/1p1pP3/1PpPp3/2P1P3/Q2B1KPP/3q4 b - - 2 23","d1a4 a2a4 b5a4 b4b5 g8f7 b5b6",2078,"crushing endgame long quietMove"
001aK,"6k1/5p2/4p3/P1B5/2P4P/4Pnp1/Rb1rN3/5K2 b - - 1 33","d2e2 f1e2 g3g2 e3e4 f3d4 e2f2",2082,"crushing endgame hangingPiece long quietMove"
00JH5,"8/2Q2pk1/8/3pp2P/8/2Pq4/KP6/8 b - - 1 36","d3c4 c7c4 d5c4 b2b4",2082,"crushing defensiveMove endgame queenEndgame short"
00Pbs,"3r1rk1/Q3qppp/8/1ppb4/2Pn1B1n/2N3P1/PP3P2/R2R1K2 w - - 0 21","a7e7 d5g2 f1e1 h4f3",2088,"mate mateIn2 middlegame short"
00Ty2,"r5k1/ppp4p/2n3r1/3P4/4P3/B1P5/P1Q1K3/6N1 w - - 1 31","d5c6 g6g2 e2d3 a8d8 d3c4 g2c2",2090,"advantage endgame exposedKing fork long"
00GWg,"1r1r2k1/pp4pp/2nNb3/2R2p2/2P1p3/8/P4PPP/3BR1K1 w - - 1 26","d6b7 b8b7 c5c6 b7b1 g1f1 d8d1 e1d1 b1d1 f1e2 e6d7",2091,"crushing middlegame veryLong"
00QjF,"8/8/1pr1p1kp/pbPp2pN/3Pp1P1/1P2K3/P6P/2R5 b - - 0 29","e6e5 c5b6 c6c1 b6b7 c1e1 e3d2",2097,"advancedPawn crushing endgame long master sacrifice"
00Ocp,"r3k3/p1pbq3/2p2p2/4p1p1/2B3p1/2P4r/P1P2PQP/3RR1K1 b q - 3 20","e7c5 g2e4 f6f5 e4e5 c5e5 e1e5",2098,"crushing exposedKing long middlegame"
00fpf,"7r/pkp5/1pN1Q1rb/3p1n1q/3P4/2P3PN/PP4BP/5RK1 w - - 1 25","e6d5 h6e3 f1f2 h5d1",2098,"advantage kingsideAttack middlegame pin short"
000qP,"8/7R/8/5p2/4bk1P/8/2r2K2/6R1 w - - 7 51","f2f1 f4f3 f1e1 c2c1 e1d2 c1g1",2104,"crushing endgame exposedKing long skewer"
00MBF,"7k/np2b1pp/p1b2p2/2P1pq2/PPQ4P/5PP1/1B5K/3BN3 b - - 0 29","c6d7 d1b3 f5h3 h2g1 d7e6 c4e6 h3e6 b3e6",2104,"advantage middlegame quietMove veryLong"
00JZk,"7k/1q5p/3Q2p1/8/P3p3/1p2B2P/1br3P1/R5K1 b - - 0 32","b7f7 a1f1 f7f1 g1f1",2105,"crushing endgame short"
00K7b,"7k/1p4p1/pP1r4/4qp2/P2Nn3/1Q5P/2N3K1/3R4 w - - 4 48","g2f1 e5f4 b3f3 f4f3 d4f3 d6d1",2107,"advantage exposedKing long middlegame"
00XbN,"6k1/R4p1p/6P1/3p4/8/2b5/1r2rBPP/5RK1 b - - 0 26","e2f2 g6f7 g8f8 a7a8",2109,"advancedPawn advantage endgame short"
00LRq,"1k6/1p1q4/P2p3p/1NpPpn1Q/5b2/2P3r1/1P2B1P1/R6K b - - 3 28","g3g7 a6a7 b8a8 b5c7 d7c7 h5e8 c7b8 a7b8q",2111,"advancedPawn discoveredCheck doubleCheck mate mateIn4 middlegame promotion queensideAttack sacrifice veryLong"
00SiY,"8/8/3p2N1/3Pp1n1/4Pp1p/3k1P1P/6K1/8 w - - 8 57","g6h4 d3e2 h4f5 g5f3",2111,"crushing endgame knightEndgame master short zugzwang"
00J5r,"r4rk1/1p4p1/p1p1n1Pp/q3p3/4P3/2N1QP2/PPP5/2KR3R w - - 0 21","h1h6 g7h6 e3h6 a5c7",2112,"crushing defensiveMove master middlegame short"
00UJP,"1r2q1k1/R1p4p/3pNp2/3P4/1p3pbb/1BP5/1P3PPK/Q4R2 w - - 2 28","a7c7 h4g3 h2g1 e8h5 c7g7 g8h8 f2g3 f4g3 f1f3 h5h2",2114,"crushing middlegame sacrifice veryLong"
00baa,"1r1qr1k1/p1p2ppp/1p1b1n2/8/3Q4/1PN3P1/PBP1PPKP/R3R3 w - - 1 15","c3d5 d6e5 d5f6 d8f6 d4c4 e5b2",2122,"advantage long middlegame skewer"
003cs,"2r1kbnr/pp4pp/4p3/3pP1N1/3q4/1P2B3/P3Q1PP/nN3RK1 b k - 1 16","d4e5 f1f8 e8f8 e3c5 c8c5 e2e5 c5c1 g1f2",2123,"advantage attraction discoveredAttack exposedKing middlegame sacrifice veryLong"
00V4d,"b2r2k1/p2rqpp1/n2Npb1p/2Q1N3/1P6/P5P1/3RPPBP/3R2K1 w - - 3 23","c5b5 d7d6 e5g6 f7g6 d2d6 d8d6 d1d6 e7d6",2123,"advantage middlegame veryLong"
00Ac7,"8/2p1pk1p/Pp4p1/8/p1P2P2/3r2P1/3PR2P/3K4 b - - 1 33","a4a3 a6a7 d3d8 e2e3 a3a2 e3a3",2125,"advancedPawn advantage endgame long rookEndgame"
002LF,"7r/p2q1pk1/1pp3p1/8/6P1/4Q3/PP1R1P1r/5KN1 b - - 0 38","d7g4 e3e5 f7f6 e5c7 g7h6 c7h2",2128,"advantage endgame interference long"
00IpT,"r1bk3r/ppp1n2p/3pNQ2/8/2BpP2p/8/PPPq2PP/R5K1 b - - 2 21","d8d7 f6h8 d7c6 h8e8",2130,"crushing hangingPiece middlegame short"
008nF,"2rq1rk1/7p/1n4pb/1R2p3/pPpP1P2/P1B5/3NQ1PP/2R3K1 w - - 0 31","e2e5 f8e8 e5e8 d8e8",2132,"crushing master middlegame short trappedPiece"
00Kd8,"3R4/3P4/8/5p2/5kPp/8/3r1KP1/8 w - - 1 64","f2g1 f4g3 g1f1 f5g4",2133,"advantage endgame rookEndgame short"
00ZSu,"8/2R5/1r2k1pp/1P6/K3pp2/7P/5PP1/8 b - - 0 43","e4e3 f2e3 f4e3 c7c3",2145,"advantage endgame rookEndgame short"
00gpa,"r1b2rk1/qp3pp1/p3p2p/8/8/P5P1/1PBB2P1/2RQ3K b - - 0 21","f8d8 d2e3 d8d1 c1d1 g8f8 e3a7 a8a7 d1d8 f8e7 d8c8",2147,"advantage fork middlegame sacrifice veryLong"
00IFk,"r1b4r/ppk2ppp/2p5/3n2B1/2P5/6P1/P1P1B2P/2KR3R b - - 0 16","d5c3 g5f4 c7b6 c4c5 b6c5 f4e3",2150,"attraction crushing long middlegame"
000jr,"5k2/1p4pp/p5n1/5Q2/3BpP2/1P2PP1K/P1q4P/7r b - - 1 33","f8g8 f5d5 g8f8 d4c5 c2c5 d5c5",2152,"crushing endgame long"
00OPc,"1k1rr3/ppp1q3/8/4nQNp/8/2P4P/PP4P1/2K1R2R w - - 0 25","g5f3 e5d3 f5d3 d8d3 e1e7 e8e7",2152,"advantage fork long middlegame"
00Pms,"r1b1kr2/p1p2pQp/1p2pP2/8/8/1P4P1/P2KNP1P/R1B4q b q - 0 17","c8a6 g7f8 e8f8 c1a3 f8e8 a1h1",2155,"advantage attraction discoveredAttack long middlegame sacrifice"
00W3Q,"3r1k2/5p2/Np3P1p/1P2pR2/2p1N3/b1P1n3/P5PP/6K1 w - - 0 32","f5e5 d8d1 g1f2 e3g4 f2e2 d1d3",2157,"advantage endgame fork long master masterVsMaster"
00WoW,"8/4kppR/r1p1p2p/p3P2P/4P1P1/1pP1KP2/6B1/8 w - - 0 29","e3d2 a5a4 g2f1 a4a3 f1a6 a3a2",2158,"advancedPawn advantage endgame long master quietMove sacrifice"
00J5q,"8/5Qpk/4p3/1p6/p7/1q1bB2P/5PP1/6K1 b - - 0 32","a4a3 e3d4 e6e5 f7b3",2159,"crushing endgame short"
00AXb,"5kr1/pp3p1p/1q2pBb1/1B1p4/P7/5P2/1P4rP/2Q1K2R b K - 0 21","g2g1 h1g1 b6g1 b5f1 g6c2 c1f4",2161,"advantage defensiveMove long middlegame"
00Voj,"r1bk1b1r/2q5/p1n1p1Bp/1p1pP3/3p4/P3B3/1PP2QPP/R4RK1 b - - 1 17","d4e3 f2f6 d8d7 f6h8 c8b7 f1f8 a8f8 h8f8",2166,"advantage discoveredAttack fork middlegame veryLong"
00DKr,"3r1k2/2p1R3/p2p2n1/1p6/1P1P2Q1/7P/5qPK/3R4 w - - 2 42","d1e1 g6e7 e1e4 f8e8",2169,"advantage defensiveMove endgame short"
003md,"r1b1k2N/ppp3pp/2n5/2bp4/7q/1B4n1/PPPP1P1P/RNBQ1RK1 w q - 0 10","f1e1 g3e4 e1e4 d5e4 d1h5 h4h5 b3f7 h5f7",2171,"crushing defensiveMove middlegame veryLong"
00TuA,"8/6p1/8/pp2k1p1/2p2p2/2P1KPPP/PP6/8 w - - 0 37","e3f2 f4g3 f2g3 e5f5",2173,"crushing defensiveMove endgame pawnEndgame short"
00YjD,"8/8/2p5/5k2/3R2p1/1P1P2K1/2r5/8 w - - 0 38","d4c4 c2c4 d3c4 c6c5 b3b4 c5b4",2175,"crushing endgame long quietMove rookEndgame"
00UHs,"r4rk1/ppp3pp/4p3/2P4P/1nNP2q1/P3QP2/1Pb2K2/R4B1R b - - 0 22","c2e4 c4e5 b4d5 e5g4 d5e3 f2e3",2176,"crushing long middlegame"
0091A,"1r3rk1/q4ppp/p3Pb2/3nN3/P2P4/7Q/1B4PP/1R3RK1 b - - 0 24","b8b2 e6f7 f8f7 h3c8 f7f8 c8e6",2177,"advancedPawn advantage kingsideAttack long middlegame"
00LBF,"3r2k1/1b2qpb1/pp4p1/3rp3/3R2P1/2P2NBP/PP2Q2K/3R4 b - - 0 33","e7d7 d4d5 b7d5 c3c4",2179,"advantage master middlegame short"
00bvs,"8/6p1/4pk2/P2n1p1Q/2pP1Pr1/2P5/2qB1RbP/R5K1 w - - 0 33","f2g2 g4g2 g1g2 d5f4 g2g1 f4h5",2179,"attraction crushing long middlegame pin"
00LZl,"r2qkb1r/ppp2ppp/2n5/3pPb2/3n1B2/2NB1N2/PP3PPP/R2QK2R b KQkq - 3 9","f8b4 f3d4 c6d4 d1a4 d4c6 d3f5",2180,"advantage deflection fork long opening"
00QyM,"8/3k4/1pp3p1/4Pp1p/2PK1P1P/pP6/P7/8 b - - 1 35","d7e6 b3b4 e6e7 b4b5 c6b5 c4b5",2181,"crushing endgame long pawnEndgame quietMove zugzwang"
00LZf,"r1b1kb1r/pppp1ppp/2n1p3/3nN3/3P2q1/4B3/PPP1BPPP/RN1Q1RK1 b kq - 9 8","d5e3 f2e3 g4g5 e5f7 g5e3 g1h1",2185,"advantage attackingF2F7 fork long opening"
00D12,"8/6pp/8/3kP3/1p1P2P1/rPpK3P/4R3/8 b - - 1 39","a3b3 e5e6 c3c2 d3c2 b3c3 c2d2",2189,"crushing endgame long rookEndgame"
001u3,"2r3k1/p1q2pp1/Q3p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 b - - 3 33","c7b6 a6c8 g8h7 c8b7",2190,"advantage hangingPiece middlegame short"
004sY,"8/2k3n1/3p2p1/1KpP2Pp/2P4P/7B/8/8 w - - 0 57","b5a6 c7d8 a6b5 g7f5",2191,"crushing endgame short"
007gO,"2r3rk/5p2/4p2p/4q3/1Q6/8/1P3PPP/R4RK1 w - - 0 31","a1c1 e5g5 g2g3 c8c1",2197,"crushing endgame short"
00ZEW,"r1b5/pppqNkp1/3p3p/6rn/1PP2p1N/P5P1/4Q2P/4RRK1 b - - 3 22","g5e5 e2h5 e5h5 f1f4 f7e8 e7g6",2201,"advantage discoveredAttack discoveredCheck long middlegame pin sacrifice"
00dWq,"2r1kb2/5p1p/p3p3/1p2P1Q1/1Pq5/P1p3P1/2P4P/2KR1R2 w - - 0 28","g5f4 f8h6 c1b1 h6f4",2204,"advantage endgame pin short"
008LT,"r4rk1/6p1/b3p1nN/p1pp4/1p3P1q/3P1Q1B/PPP2PK1/R6R b - - 0 26","g8h8 h6f7 f8f7 h3e6",2205,"crushing kingsideAttack middlegame pin sacrifice short"
00PgQ,"3r4/P1R5/7P/4p3/8/4p3/2p1K3/1k6 w - - 1 55","e2e3 c2c1q c7c1 b1c1 e3e4 d8e8",2208,"advancedPawn crushing defensiveMove endgame long master promotion"
00ZvN,"8/8/8/4kppp/8/4KPPP/8/8 b - - 0 35","f5f4 g3f4 g5f4 e3d3 e5f6 h3h4",2210,"crushing defensiveMove endgame long pawnEndgame"
00bQA,"r7/6k1/2b1R1n1/1p3nR1/1P1p3p/3P1PpP/2N3P1/6K1 b - - 0 40","f5e7 e6e7 g7f6 g5g6 f6e7 g6c6 e7d7 c6c5",2210,"crushing exposedKing master middlegame pin skewer veryLong"
00JMV,"8/1p4pk/pPp4b/P1P1P3/3pq1b1/2Q5/6PP/2B2RK1 w - - 0 32","c3e1 e4e1 f1e1 h6c1",2212,"advantage endgame short"
00Bpq,"7k/pb1r2p1/1pq2n1p/2p1RP2/2P5/1NP3BP/P7/2Q2BK1 w - - 1 37","c1e3 c6h1 g1f2 d7d1 b3d2 d1d2",2222,"advantage kingsideAttack long middlegame"
00MHi,"8/8/5pp1/5k1p/5P1P/4R1P1/2r5/5K2 w - - 0 43","e3e2 c2e2 f1e2 f5g4 e2f2 g4h3",2225,"crushing endgame long rookEndgame zugzwang"
00dt1,"Q7/8/3B4/2p5/Krkn4/8/8/8 w - - 1 54","a4a3 d4b5 a3a2 b5c3 a2a1 b4b1",2226,"arabianMate endgame exposedKing fork long master mate mateIn3"
00fXf,"6k1/5p2/3bbq2/p2p2pp/N2Pn3/P3PN1P/4BPP1/2Q3K1 w - - 0 31","a4c5 d6c5 d4c5 g5g4",2228,"advantage master middlegame short"
00aNB,"8/8/pp3k1K/2p4P/P7/2P5/8/8 w - - 0 44","h6h7 c5c4 h7g8 f6g5 g8f7 b6b5 a4b5 a6b5 f7e6 b5b4",2229,"crushing endgame pawnEndgame quietMove veryLong"
00ct0,"4rrk1/pp4pp/2p1b3/4q3/4Bb2/1PPQ4/P4PP1/R1B2R1K w - - 3 22","c1f4 f8f4 e4h7 g8h8 h1g1 f4h4 f2f4 e5c5",2232,"crushing middlegame veryLong"
00Aok,"5rk1/Q2B1p1p/4p1p1/3p4/3N2b1/2q5/Pr3RPP/5RK1 w - - 0 23","f2f7 c3e3 g1h1 f8f7 a7a8 g8g7 f1f7 g7f7 a8e8 f7f6",2236,"crushing intermezzo middlegame veryLong"
00P81,"6k1/5p2/4p2p/3pPP2/1R5P/7r/2B5/2b2K2 b - - 0 46","h3c3 b4b8 g8h7 f5e6 c3c2 e6e7",2244,"advancedPawn crushing discoveredAttack discoveredCheck endgame long sacrifice"
003Ec,"3r4/p4R2/1pb2Pp1/n1p1Q1kp/8/P2q4/1P4PP/6RK b - - 2 32","d3f5 e5e3 f5f4 h2h4 g5f5 e3h3",2245,"crushing long middlegame pin"
0078T,"rk5r/1b3R2/pp2p2q/4P2p/B2p3B/4R2P/PP4P1/5Q1K b - - 0 27","d4e3 f7b7 b8b7 f1f7 b7b8 h4e7",2248,"attraction crushing defensiveMove exposedKing long middlegame queensideAttack sacrifice"
